	uvrA_7	uvrA_8
SRR2034335.25197-2/2	0.0	0.0
SRR2034335.255724-1/2	1.0	0.0
SRR2034335.255724-2/2	1.0	0.0
SRR2034335.259781-1/2	0.0	0.0
SRR2034335.259781-2/2	0.0	0.0
SRR2034335.264969-1/2	0.0	1.0
SRR2034335.264969-2/2	0.0	0.0
SRR2034335.270616-1/2	2.0	0.0
SRR2034335.270616-2/2	0.0	0.0
SRR2034335.271131-1/2	1.0	0.0
SRR2034335.271131-2/2	0.0	0.0
SRR2034335.272818-1/2	2.0	0.0
SRR2034335.272818-2/2	0.0	0.0
SRR2034335.275303-1/2	2.0	0.0
SRR2034335.275303-2/2	1.0	0.0
SRR2034335.287851-1/2	1.0	1.0
SRR2034335.287851-2/2	1.0	0.0
SRR2034335.292571-1/2	0.0	0.0
SRR2034335.292571-2/2	0.0	0.0
SRR2034335.301211-1/2	0.0	0.0
SRR2034335.301211-2/2	0.0	0.0
SRR2034335.315116-1/2	0.0	0.0
SRR2034335.315116-2/2	0.0	0.0
SRR2034335.315230-1/2	1.0	0.0
SRR2034335.315230-2/2	1.0	0.0
SRR2034335.315267-1/2	1.0	0.0
SRR2034335.315267-2/2	0.0	0.0
SRR2034335.318151-1/2	-1.0	1.0
SRR2034335.318151-2/2	-1.0	2.0
SRR2034335.321969-1/2	2.0	0.0
SRR2034335.321969-2/2	0.0	0.0
SRR2034335.323329-1/2	2.0	0.0
SRR2034335.323329-2/2	0.0	0.0
SRR2034335.3320-1/2	1.0	0.0
SRR2034335.3320-2/2	0.0	0.0
SRR2034335.332278-1/2	2.0	0.0
SRR2034335.332278-2/2	2.0	0.0
SRR2034335.33526-1/2	0.0	0.0
SRR2034335.33526-2/2	0.0	0.0
SRR2034335.339254-1/2	0.0	0.0
SRR2034335.339254-2/2	0.0	0.0
SRR2034335.340918-1/2	0.0	1.0
SRR2034335.340918-2/2	0.0	0.0
SRR2034335.341948-1/2	0.0	0.0
SRR2034335.341948-2/2	2.0	1.0
SRR2034335.342496-1/2	1.0	-1.0
SRR2034335.342496-2/2	0.0	-1.0
SRR2034335.346324-1/2	0.0	0.0
SRR2034335.346324-2/2	0.0	0.0
SRR2034335.351931-1/2	0.0	0.0
SRR2034335.351931-2/2	1.0	0.0
SRR2034335.355385-1/2	0.0	0.0
SRR2034335.355385-2/2	0.0	0.0
SRR2034335.356629-1/2	0.0	0.0
SRR2034335.356629-2/2	0.0	0.0
SRR2034335.360100-1/2	0.0	0.0
SRR2034335.360100-2/2	0.0	0.0
SRR2034335.361332-1/2	2.0	0.0
SRR2034335.361332-2/2	1.0	0.0
SRR2034335.361339-1/2	0.0	0.0
SRR2034335.361339-2/2	1.0	0.0
SRR2034335.368066-1/2	0.0	0.0
SRR2034335.368066-2/2	0.0	0.0
SRR2034335.369814-1/2	2.0	0.0
SRR2034335.369814-2/2	0.0	0.0
SRR2034335.370032-1/2	2.0	0.0
SRR2034335.370032-2/2	2.0	0.0
SRR2034335.370907-1/2	0.0	0.0
SRR2034335.370907-2/2	0.0	0.0
SRR2034335.374359-1/2	2.0	0.0
SRR2034335.374359-2/2	1.0	0.0
SRR2034335.377676-1/2	0.0	0.0
SRR2034335.377676-2/2	0.0	0.0
SRR2034335.380674-1/2	2.0	0.0
SRR2034335.380674-2/2	1.0	0.0
SRR2034335.385031-1/2	0.0	0.0
SRR2034335.385031-2/2	0.0	0.0
SRR2034335.390285-1/2	2.0	0.0
SRR2034335.390285-2/2	2.0	0.0
SRR2034335.392623-1/2	1.0	0.0
SRR2034335.392623-2/2	0.0	0.0
SRR2034335.401605-1/2	2.0	0.0
SRR2034335.401605-2/2	0.0	0.0
SRR2034335.401616-1/2	1.0	1.0
SRR2034335.401616-2/2	0.0	0.0
SRR2034335.405325-1/2	2.0	0.0
SRR2034335.405325-2/2	0.0	0.0
SRR2034335.409466-1/2	2.0	0.0
SRR2034335.409466-2/2	0.0	0.0
SRR2034335.412265-1/2	0.0	0.0
SRR2034335.412265-2/2	1.0	0.0
SRR2034335.415971-1/2	1.0	0.0
SRR2034335.415971-2/2	0.0	0.0
SRR2034335.417972-1/2	0.0	0.0
SRR2034335.417972-2/2	0.0	0.0
SRR2034335.418407-1/2	0.0	0.0
SRR2034335.418407-2/2	0.0	0.0
SRR2034335.419341-1/2	0.0	0.0
SRR2034335.419341-2/2	0.0	0.0
SRR2034335.424909-1/2	1.0	0.0
SRR2034335.424909-2/2	1.0	1.0
SRR2034335.427211-1/2	0.0	0.0
SRR2034335.427211-2/2	0.0	0.0
SRR2034335.429228-1/2	0.0	0.0
SRR2034335.429228-2/2	0.0	0.0
SRR2034335.430298-1/2	2.0	0.0
SRR2034335.430298-2/2	0.0	0.0
SRR2034335.431887-1/2	0.0	0.0
SRR2034335.431887-2/2	0.0	0.0
SRR2034335.432773-1/2	0.0	0.0
SRR2034335.432773-2/2	0.0	0.0
SRR2034335.436162-1/2	0.0	0.0
SRR2034335.436162-2/2	2.0	0.0
SRR2034335.441485-1/2	2.0	0.0
SRR2034335.441485-2/2	2.0	0.0
SRR2034335.449391-1/2	1.0	0.0
SRR2034335.449391-2/2	0.0	0.0
SRR2034335.450001-1/2	2.0	0.0
SRR2034335.450001-2/2	1.0	0.0
SRR2034335.450299-1/2	0.0	0.0
SRR2034335.450299-2/2	0.0	0.0
SRR2034335.461356-1/2	1.0	0.0
SRR2034335.461356-2/2	1.0	0.0
SRR2034335.464353-1/2	0.0	0.0
SRR2034335.464353-2/2	2.0	0.0
SRR2034335.465224-1/2	0.0	0.0
SRR2034335.465224-2/2	0.0	0.0
SRR2034335.467822-1/2	0.0	0.0
SRR2034335.467822-2/2	2.0	0.0
SRR2034335.470242-1/2	0.0	0.0
SRR2034335.470242-2/2	0.0	0.0
SRR2034335.470855-1/2	0.0	0.0
SRR2034335.470855-2/2	2.0	0.0
SRR2034335.475124-1/2	1.0	0.0
SRR2034335.475124-2/2	0.0	0.0
SRR2034335.477087-1/2	1.0	0.0
SRR2034335.477087-2/2	2.0	0.0
SRR2034335.478145-1/2	0.0	0.0
SRR2034335.478145-2/2	2.0	0.0
SRR2034335.478774-1/2	0.0	0.0
SRR2034335.478774-2/2	0.0	0.0
SRR2034335.480555-1/2	0.0	0.0
SRR2034335.480555-2/2	0.0	0.0
SRR2034335.482267-1/2	0.0	1.0
SRR2034335.482267-2/2	0.0	0.0
SRR2034335.491506-1/2	0.0	0.0
SRR2034335.491506-2/2	1.0	0.0
SRR2034335.493479-1/2	2.0	0.0
SRR2034335.493479-2/2	0.0	0.0
SRR2034335.49628-1/2	2.0	0.0
SRR2034335.49628-2/2	0.0	0.0
SRR2034335.498479-1/2	0.0	0.0
SRR2034335.498479-2/2	1.0	1.0
SRR2034335.499056-1/2	2.0	0.0
SRR2034335.499056-2/2	1.0	0.0
SRR2034335.500375-1/2	0.0	0.0
SRR2034335.500375-2/2	0.0	0.0
SRR2034335.503282-1/2	0.0	0.0
SRR2034335.503282-2/2	0.0	0.0
SRR2034335.508201-1/2	0.0	0.0
SRR2034335.508201-2/2	0.0	0.0
SRR2034335.509776-1/2	1.0	1.0
SRR2034335.509776-2/2	1.0	0.0
SRR2034335.509891-1/2	0.0	0.0
SRR2034335.509891-2/2	0.0	0.0
SRR2034335.519081-1/2	1.0	1.0
SRR2034335.519081-2/2	0.0	0.0
SRR2034335.519844-1/2	0.0	0.0
SRR2034335.519844-2/2	0.0	0.0
SRR2034335.520498-1/2	2.0	0.0
SRR2034335.520498-2/2	0.0	0.0
SRR2034335.528746-1/2	0.0	0.0
SRR2034335.528746-2/2	0.0	0.0
SRR2034335.530225-1/2	1.0	1.0
SRR2034335.530225-2/2	0.0	0.0
SRR2034335.542435-1/2	0.0	0.0
SRR2034335.542435-2/2	0.0	0.0
SRR2034335.542840-1/2	1.0	1.0
SRR2034335.542840-2/2	0.0	0.0
SRR2034335.546226-1/2	0.0	0.0
SRR2034335.546226-2/2	0.0	0.0
SRR2034335.552-1/2	2.0	0.0
SRR2034335.552-2/2	0.0	0.0
SRR2034335.557786-1/2	0.0	0.0
SRR2034335.557786-2/2	1.0	0.0
SRR2034335.557824-1/2	0.0	0.0
SRR2034335.557824-2/2	1.0	2.0
SRR2034335.557915-1/2	2.0	0.0
SRR2034335.557915-2/2	0.0	0.0
SRR2034335.559609-1/2	2.0	0.0
SRR2034335.559609-2/2	2.0	0.0
SRR2034335.560777-1/2	1.0	0.0
SRR2034335.560777-2/2	0.0	0.0
SRR2034335.566357-1/2	1.0	0.0
SRR2034335.566357-2/2	2.0	0.0
SRR2034335.566369-1/2	0.0	0.0
SRR2034335.566369-2/2	1.0	0.0
SRR2034335.567248-1/2	0.0	0.0
SRR2034335.567248-2/2	0.0	0.0
SRR2034335.58175-1/2	2.0	0.0
SRR2034335.58175-2/2	1.0	0.0
SRR2034335.587897-1/2	2.0	0.0
SRR2034335.587897-2/2	0.0	0.0
SRR2034335.593312-1/2	1.0	0.0
SRR2034335.593312-2/2	0.0	0.0
SRR2034335.594051-1/2	0.0	0.0
SRR2034335.594051-2/2	0.0	0.0
SRR2034335.595447-1/2	0.0	0.0
SRR2034335.595447-2/2	1.0	0.0
SRR2034335.598010-1/2	2.0	0.0
SRR2034335.598010-2/2	0.0	0.0
SRR2034335.598357-1/2	2.0	0.0
SRR2034335.598357-2/2	0.0	0.0
SRR2034335.604482-1/2	0.0	0.0
SRR2034335.604482-2/2	0.0	0.0
SRR2034335.613966-1/2	1.0	0.0
SRR2034335.613966-2/2	1.0	0.0
SRR2034335.617748-1/2	0.0	0.0
SRR2034335.617748-2/2	2.0	0.0
SRR2034335.618850-1/2	0.0	0.0
SRR2034335.618850-2/2	0.0	0.0
SRR2034335.624143-1/2	2.0	0.0
SRR2034335.624143-2/2	0.0	0.0
SRR2034335.625517-1/2	0.0	0.0
SRR2034335.625517-2/2	0.0	0.0
SRR2034335.634959-1/2	0.0	0.0
SRR2034335.634959-2/2	0.0	0.0
SRR2034335.637686-1/2	0.0	0.0
SRR2034335.637686-2/2	0.0	0.0
SRR2034335.639824-1/2	0.0	0.0
SRR2034335.639824-2/2	0.0	0.0
SRR2034335.645499-1/2	0.0	0.0
SRR2034335.645499-2/2	1.0	0.0
SRR2034335.65018-1/2	2.0	0.0
SRR2034335.65018-2/2	0.0	0.0
SRR2034335.650387-1/2	0.0	0.0
SRR2034335.650387-2/2	1.0	0.0
SRR2034335.656234-1/2	0.0	0.0
SRR2034335.656234-2/2	0.0	0.0
SRR2034335.658072-1/2	0.0	0.0
SRR2034335.658072-2/2	1.0	0.0
SRR2034335.667182-1/2	2.0	0.0
SRR2034335.667182-2/2	2.0	0.0
SRR2034335.667677-1/2	0.0	0.0
SRR2034335.667677-2/2	0.0	0.0
SRR2034335.670271-1/2	0.0	0.0
SRR2034335.670271-2/2	1.0	1.0
SRR2034335.673086-1/2	1.0	0.0
SRR2034335.673086-2/2	0.0	0.0
SRR2034335.67625-1/2	0.0	0.0
SRR2034335.67625-2/2	0.0	0.0
SRR2034335.680052-1/2	1.0	0.0
SRR2034335.680052-2/2	0.0	0.0
SRR2034335.682488-1/2	0.0	0.0
SRR2034335.682488-2/2	2.0	0.0
SRR2034335.688305-1/2	1.0	1.0
SRR2034335.688305-2/2	0.0	0.0
SRR2034335.690884-1/2	1.0	0.0
SRR2034335.690884-2/2	0.0	0.0
SRR2034335.691445-1/2	0.0	0.0
SRR2034335.691445-2/2	0.0	0.0
SRR2034335.705490-1/2	0.0	0.0
SRR2034335.705490-2/2	2.0	0.0
SRR2034335.713704-1/2	0.0	0.0
SRR2034335.713704-2/2	0.0	0.0
SRR2034335.714474-1/2	1.0	0.0
SRR2034335.714474-2/2	0.0	0.0
SRR2034335.714928-1/2	0.0	0.0
SRR2034335.714928-2/2	0.0	0.0
SRR2034335.716965-1/2	1.0	0.0
SRR2034335.716965-2/2	0.0	0.0
SRR2034335.71935-1/2	0.0	0.0
SRR2034335.71935-2/2	0.0	0.0
SRR2034335.721037-1/2	0.0	0.0
SRR2034335.721037-2/2	0.0	0.0
SRR2034335.724635-1/2	2.0	0.0
SRR2034335.724635-2/2	0.0	0.0
SRR2034335.726117-1/2	1.0	0.0
SRR2034335.726117-2/2	0.0	0.0
SRR2034335.728900-1/2	0.0	0.0
SRR2034335.728900-2/2	0.0	0.0
SRR2034335.732257-1/2	0.0	0.0
SRR2034335.732257-2/2	2.0	0.0
SRR2034335.733112-1/2	0.0	0.0
SRR2034335.733112-2/2	0.0	0.0
SRR2034335.734044-1/2	2.0	0.0
SRR2034335.734044-2/2	1.0	0.0
SRR2034335.738966-1/2	0.0	0.0
SRR2034335.738966-2/2	1.0	0.0
SRR2034335.742459-1/2	0.0	0.0
SRR2034335.742459-2/2	0.0	0.0
SRR2034335.749002-1/2	0.0	1.0
SRR2034335.749002-2/2	0.0	0.0
SRR2034335.756656-1/2	0.0	0.0
SRR2034335.756656-2/2	0.0	0.0
SRR2034335.756832-1/2	0.0	0.0
SRR2034335.756832-2/2	0.0	0.0
SRR2034335.765646-1/2	0.0	0.0
SRR2034335.765646-2/2	1.0	0.0
SRR2034335.767587-1/2	2.0	0.0
SRR2034335.767587-2/2	1.0	0.0
SRR2034335.76808-1/2	0.0	0.0
SRR2034335.76808-2/2	0.0	0.0
SRR2034335.76897-1/2	0.0	0.0
SRR2034335.76897-2/2	0.0	0.0
SRR2034335.779256-1/2	0.0	1.0
SRR2034335.779256-2/2	0.0	0.0
SRR2034335.781028-1/2	0.0	1.0
SRR2034335.781028-2/2	0.0	0.0
SRR2034335.787066-1/2	0.0	0.0
SRR2034335.787066-2/2	0.0	0.0
SRR2034335.78783-1/2	2.0	0.0
SRR2034335.78783-2/2	0.0	0.0
SRR2034335.788127-1/2	0.0	0.0
SRR2034335.788127-2/2	0.0	0.0
SRR2034335.7917-1/2	0.0	0.0
SRR2034335.7917-2/2	0.0	0.0
SRR2034335.800489-1/2	0.0	0.0
SRR2034335.800489-2/2	0.0	0.0
SRR2034335.820310-1/2	0.0	0.0
SRR2034335.820310-2/2	1.0	0.0
SRR2034335.827614-1/2	1.0	0.0
SRR2034335.827614-2/2	2.0	0.0
SRR2034335.828885-1/2	0.0	1.0
SRR2034335.828885-2/2	0.0	1.0
SRR2034335.82900-1/2	0.0	0.0
SRR2034335.82900-2/2	2.0	0.0
SRR2034335.829435-1/2	2.0	0.0
SRR2034335.829435-2/2	0.0	0.0
SRR2034335.839419-1/2	0.0	0.0
SRR2034335.839419-2/2	2.0	0.0
SRR2034335.845999-1/2	2.0	0.0
SRR2034335.845999-2/2	2.0	0.0
SRR2034335.85367-1/2	0.0	0.0
SRR2034335.85367-2/2	0.0	0.0
SRR2034335.854477-1/2	0.0	0.0
SRR2034335.854477-2/2	0.0	0.0
SRR2034335.854537-1/2	1.0	0.0
SRR2034335.854537-2/2	0.0	0.0
SRR2034335.854669-1/2	0.0	0.0
SRR2034335.854669-2/2	0.0	0.0
SRR2034335.856012-1/2	1.0	0.0
SRR2034335.856012-2/2	0.0	0.0
SRR2034335.858350-1/2	1.0	1.0
SRR2034335.858350-2/2	0.0	0.0
SRR2034335.865724-1/2	0.0	0.0
SRR2034335.865724-2/2	0.0	0.0
SRR2034335.872948-1/2	0.0	0.0
SRR2034335.872948-2/2	1.0	0.0
SRR2034335.875408-1/2	2.0	0.0
SRR2034335.875408-2/2	2.0	0.0
SRR2034335.879489-1/2	2.0	0.0
SRR2034335.879489-2/2	1.0	0.0
SRR2034335.882269-1/2	0.0	0.0
SRR2034335.882269-2/2	2.0	0.0
SRR2034335.886222-1/2	0.0	0.0
SRR2034335.886222-2/2	0.0	0.0
SRR2034335.886741-1/2	0.0	0.0
SRR2034335.886741-2/2	2.0	0.0
SRR2034335.888931-1/2	2.0	0.0
SRR2034335.888931-2/2	0.0	0.0
SRR2034335.90142-1/2	0.0	0.0
SRR2034335.90142-2/2	2.0	0.0
SRR2034335.90268-1/2	0.0	0.0
SRR2034335.90268-2/2	2.0	0.0
SRR2034335.91396-1/2	0.0	0.0
SRR2034335.91396-2/2	0.0	0.0
SRR2034335.9518-1/2	2.0	0.0
SRR2034335.9518-2/2	2.0	0.0
SRR2034335.99888-1/2	1.0	0.0
SRR2034335.99888-2/2	0.0	0.0
