	clpA_4	clpA_6
SRR2034335.484343-2/2	0.0	0.0
SRR2034335.484865-1/2	0.0	0.0
SRR2034335.484865-2/2	0.0	0.0
SRR2034335.485299-1/2	1.0	0.0
SRR2034335.485299-2/2	0.0	0.0
SRR2034335.48743-1/2	0.0	0.0
SRR2034335.48743-2/2	0.0	0.0
SRR2034335.489149-1/2	0.0	0.0
SRR2034335.489149-2/2	0.0	0.0
SRR2034335.492318-1/2	1.0	1.0
SRR2034335.492318-2/2	1.0	0.0
SRR2034335.49607-1/2	1.0	0.0
SRR2034335.49607-2/2	0.0	0.0
SRR2034335.500941-1/2	1.0	0.0
SRR2034335.500941-2/2	0.0	0.0
SRR2034335.508297-1/2	0.0	0.0
SRR2034335.508297-2/2	0.0	0.0
SRR2034335.508953-1/2	0.0	0.0
SRR2034335.508953-2/2	0.0	0.0
SRR2034335.510867-1/2	2.0	0.0
SRR2034335.510867-2/2	1.0	0.0
SRR2034335.519093-1/2	0.0	0.0
SRR2034335.519093-2/2	0.0	0.0
SRR2034335.519916-1/2	0.0	0.0
SRR2034335.519916-2/2	0.0	0.0
SRR2034335.521588-1/2	0.0	0.0
SRR2034335.521588-2/2	1.0	0.0
SRR2034335.533383-1/2	0.0	0.0
SRR2034335.533383-2/2	1.0	0.0
SRR2034335.541794-1/2	0.0	0.0
SRR2034335.541794-2/2	0.0	0.0
SRR2034335.548487-1/2	0.0	0.0
SRR2034335.548487-2/2	0.0	0.0
SRR2034335.554604-1/2	0.0	2.0
SRR2034335.554604-2/2	0.0	0.0
SRR2034335.5563-1/2	1.0	0.0
SRR2034335.5563-2/2	0.0	0.0
SRR2034335.558918-1/2	1.0	0.0
SRR2034335.558918-2/2	0.0	0.0
SRR2034335.55911-1/2	0.0	0.0
SRR2034335.55911-2/2	1.0	0.0
SRR2034335.560563-1/2	0.0	0.0
SRR2034335.560563-2/2	0.0	1.0
SRR2034335.566559-1/2	0.0	0.0
SRR2034335.566559-2/2	0.0	0.0
SRR2034335.569663-1/2	1.0	0.0
SRR2034335.569663-2/2	0.0	0.0
SRR2034335.571629-1/2	0.0	0.0
SRR2034335.571629-2/2	1.0	0.0
SRR2034335.571863-1/2	0.0	0.0
SRR2034335.571863-2/2	0.0	0.0
SRR2034335.577521-1/2	1.0	0.0
SRR2034335.577521-2/2	0.0	0.0
SRR2034335.580195-1/2	1.0	0.0
SRR2034335.580195-2/2	2.0	1.0
SRR2034335.586691-1/2	1.0	0.0
SRR2034335.586691-2/2	0.0	0.0
SRR2034335.586805-1/2	2.0	1.0
SRR2034335.586805-2/2	1.0	0.0
SRR2034335.587886-1/2	2.0	0.0
SRR2034335.587886-2/2	0.0	0.0
SRR2034335.589916-1/2	0.0	0.0
SRR2034335.589916-2/2	0.0	0.0
SRR2034335.597061-1/2	0.0	0.0
SRR2034335.597061-2/2	0.0	0.0
SRR2034335.597968-1/2	1.0	0.0
SRR2034335.597968-2/2	1.0	0.0
SRR2034335.611691-1/2	0.0	0.0
SRR2034335.611691-2/2	0.0	0.0
SRR2034335.611953-1/2	0.0	0.0
SRR2034335.611953-2/2	1.0	0.0
SRR2034335.615249-1/2	0.0	0.0
SRR2034335.615249-2/2	0.0	0.0
SRR2034335.615271-1/2	1.0	0.0
SRR2034335.615271-2/2	0.0	0.0
SRR2034335.619688-1/2	0.0	0.0
SRR2034335.619688-2/2	0.0	0.0
SRR2034335.625508-1/2	0.0	0.0
SRR2034335.625508-2/2	1.0	0.0
SRR2034335.626746-1/2	1.0	0.0
SRR2034335.626746-2/2	0.0	0.0
SRR2034335.626813-1/2	0.0	0.0
SRR2034335.626813-2/2	0.0	0.0
SRR2034335.627333-1/2	0.0	0.0
SRR2034335.627333-2/2	1.0	0.0
SRR2034335.627749-1/2	1.0	0.0
SRR2034335.627749-2/2	0.0	0.0
SRR2034335.632752-1/2	0.0	0.0
SRR2034335.632752-2/2	0.0	0.0
SRR2034335.633235-1/2	1.0	0.0
SRR2034335.633235-2/2	0.0	0.0
SRR2034335.633774-1/2	0.0	0.0
SRR2034335.633774-2/2	1.0	0.0
SRR2034335.634972-1/2	0.0	0.0
SRR2034335.634972-2/2	0.0	0.0
SRR2034335.636603-1/2	0.0	0.0
SRR2034335.636603-2/2	0.0	0.0
SRR2034335.637895-1/2	0.0	0.0
SRR2034335.637895-2/2	0.0	0.0
SRR2034335.641184-1/2	2.0	0.0
SRR2034335.641184-2/2	0.0	0.0
SRR2034335.644576-1/2	0.0	0.0
SRR2034335.644576-2/2	0.0	0.0
SRR2034335.652290-1/2	1.0	0.0
SRR2034335.652290-2/2	0.0	0.0
SRR2034335.652848-1/2	0.0	0.0
SRR2034335.652848-2/2	0.0	0.0
SRR2034335.653180-1/2	0.0	0.0
SRR2034335.653180-2/2	2.0	0.0
SRR2034335.660665-1/2	0.0	0.0
SRR2034335.660665-2/2	1.0	0.0
SRR2034335.661426-1/2	0.0	0.0
SRR2034335.661426-2/2	0.0	0.0
SRR2034335.663530-1/2	0.0	0.0
SRR2034335.663530-2/2	2.0	0.0
SRR2034335.67017-1/2	0.0	0.0
SRR2034335.67017-2/2	0.0	0.0
SRR2034335.670686-1/2	0.0	0.0
SRR2034335.670686-2/2	1.0	0.0
SRR2034335.677264-1/2	0.0	0.0
SRR2034335.677264-2/2	0.0	0.0
SRR2034335.677273-1/2	0.0	0.0
SRR2034335.677273-2/2	1.0	0.0
SRR2034335.683134-1/2	0.0	0.0
SRR2034335.683134-2/2	1.0	0.0
SRR2034335.68711-1/2	0.0	0.0
SRR2034335.68711-2/2	0.0	0.0
SRR2034335.692342-1/2	0.0	0.0
SRR2034335.692342-2/2	1.0	0.0
SRR2034335.697435-1/2	0.0	2.0
SRR2034335.697435-2/2	0.0	0.0
SRR2034335.697889-1/2	0.0	1.0
SRR2034335.697889-2/2	0.0	0.0
SRR2034335.704019-1/2	1.0	0.0
SRR2034335.704019-2/2	0.0	0.0
SRR2034335.705368-1/2	0.0	0.0
SRR2034335.705368-2/2	1.0	0.0
SRR2034335.708068-1/2	0.0	0.0
SRR2034335.708068-2/2	0.0	0.0
SRR2034335.708854-1/2	1.0	0.0
SRR2034335.708854-2/2	0.0	0.0
SRR2034335.716030-1/2	2.0	0.0
SRR2034335.716030-2/2	0.0	0.0
SRR2034335.716703-1/2	0.0	0.0
SRR2034335.716703-2/2	1.0	0.0
SRR2034335.71675-1/2	0.0	2.0
SRR2034335.71675-2/2	1.0	1.0
SRR2034335.725987-1/2	0.0	0.0
SRR2034335.725987-2/2	1.0	0.0
SRR2034335.733468-1/2	0.0	0.0
SRR2034335.733468-2/2	1.0	0.0
SRR2034335.740872-1/2	0.0	2.0
SRR2034335.740872-2/2	0.0	1.0
SRR2034335.749206-1/2	1.0	0.0
SRR2034335.749206-2/2	0.0	0.0
SRR2034335.753293-1/2	0.0	0.0
SRR2034335.753293-2/2	1.0	1.0
SRR2034335.754848-1/2	0.0	0.0
SRR2034335.754848-2/2	0.0	0.0
SRR2034335.76125-1/2	0.0	0.0
SRR2034335.76125-2/2	2.0	1.0
SRR2034335.762351-1/2	0.0	0.0
SRR2034335.762351-2/2	2.0	0.0
SRR2034335.765071-1/2	1.0	0.0
SRR2034335.765071-2/2	0.0	0.0
SRR2034335.765429-1/2	0.0	0.0
SRR2034335.765429-2/2	0.0	1.0
SRR2034335.766595-1/2	0.0	0.0
SRR2034335.766595-2/2	0.0	0.0
SRR2034335.767602-1/2	0.0	0.0
SRR2034335.767602-2/2	1.0	0.0
SRR2034335.770910-1/2	1.0	0.0
SRR2034335.770910-2/2	1.0	0.0
SRR2034335.771559-1/2	0.0	0.0
SRR2034335.771559-2/2	0.0	0.0
SRR2034335.772693-1/2	2.0	0.0
SRR2034335.772693-2/2	0.0	0.0
SRR2034335.778362-1/2	0.0	0.0
SRR2034335.778362-2/2	0.0	0.0
SRR2034335.785252-1/2	0.0	0.0
SRR2034335.785252-2/2	0.0	0.0
SRR2034335.785364-1/2	0.0	0.0
SRR2034335.785364-2/2	1.0	0.0
SRR2034335.786064-1/2	2.0	0.0
SRR2034335.786064-2/2	2.0	0.0
SRR2034335.788735-1/2	0.0	0.0
SRR2034335.788735-2/2	0.0	0.0
SRR2034335.792021-1/2	1.0	0.0
SRR2034335.792021-2/2	2.0	0.0
SRR2034335.794932-1/2	0.0	0.0
SRR2034335.794932-2/2	0.0	0.0
SRR2034335.809450-1/2	0.0	0.0
SRR2034335.809450-2/2	1.0	0.0
SRR2034335.813470-1/2	0.0	0.0
SRR2034335.813470-2/2	1.0	0.0
SRR2034335.814669-1/2	2.0	0.0
SRR2034335.814669-2/2	0.0	0.0
SRR2034335.816401-1/2	0.0	0.0
SRR2034335.816401-2/2	0.0	0.0
SRR2034335.816671-1/2	0.0	0.0
SRR2034335.816671-2/2	1.0	0.0
SRR2034335.822575-1/2	0.0	0.0
SRR2034335.822575-2/2	2.0	0.0
SRR2034335.824177-1/2	0.0	0.0
SRR2034335.824177-2/2	0.0	0.0
SRR2034335.831292-1/2	0.0	0.0
SRR2034335.831292-2/2	0.0	0.0
SRR2034335.832627-1/2	0.0	0.0
SRR2034335.832627-2/2	0.0	0.0
SRR2034335.834005-1/2	0.0	0.0
SRR2034335.834005-2/2	0.0	0.0
SRR2034335.840109-1/2	0.0	0.0
SRR2034335.840109-2/2	0.0	0.0
SRR2034335.844015-1/2	0.0	0.0
SRR2034335.844015-2/2	1.0	0.0
SRR2034335.846561-1/2	1.0	0.0
SRR2034335.846561-2/2	0.0	0.0
SRR2034335.857426-1/2	1.0	0.0
SRR2034335.857426-2/2	0.0	0.0
SRR2034335.858891-1/2	0.0	0.0
SRR2034335.858891-2/2	1.0	0.0
SRR2034335.859524-1/2	0.0	0.0
SRR2034335.859524-2/2	1.0	0.0
SRR2034335.862259-1/2	0.0	0.0
SRR2034335.862259-2/2	1.0	0.0
SRR2034335.862837-1/2	2.0	0.0
SRR2034335.862837-2/2	0.0	0.0
SRR2034335.867069-1/2	2.0	-1.0
SRR2034335.867069-2/2	0.0	-1.0
SRR2034335.868810-1/2	0.0	0.0
SRR2034335.868810-2/2	1.0	1.0
SRR2034335.868931-1/2	1.0	0.0
SRR2034335.868931-2/2	0.0	0.0
SRR2034335.871720-1/2	0.0	0.0
SRR2034335.871720-2/2	0.0	0.0
SRR2034335.872577-1/2	0.0	0.0
SRR2034335.872577-2/2	0.0	0.0
SRR2034335.877113-1/2	2.0	0.0
SRR2034335.877113-2/2	0.0	0.0
SRR2034335.8796-1/2	0.0	0.0
SRR2034335.8796-2/2	0.0	0.0
SRR2034335.881247-1/2	0.0	0.0
SRR2034335.881247-2/2	0.0	0.0
SRR2034335.882043-1/2	0.0	2.0
SRR2034335.882043-2/2	1.0	1.0
SRR2034335.883218-1/2	0.0	0.0
SRR2034335.883218-2/2	0.0	0.0
SRR2034335.885409-1/2	0.0	0.0
SRR2034335.885409-2/2	1.0	0.0
SRR2034335.886250-1/2	2.0	0.0
SRR2034335.886250-2/2	0.0	0.0
SRR2034335.88864-1/2	0.0	0.0
SRR2034335.88864-2/2	0.0	0.0
SRR2034335.888793-1/2	1.0	0.0
SRR2034335.888793-2/2	1.0	0.0
SRR2034335.888861-1/2	0.0	0.0
SRR2034335.888861-2/2	0.0	0.0
SRR2034335.892401-1/2	0.0	0.0
SRR2034335.892401-2/2	1.0	1.0
SRR2034335.9056-1/2	1.0	0.0
SRR2034335.9056-2/2	1.0	0.0
SRR2034335.93833-1/2	0.0	0.0
SRR2034335.93833-2/2	1.0	0.0
SRR2034335.97268-1/2	1.0	0.0
SRR2034335.97268-2/2	1.0	0.0
