level_0,clpA_1,clpA_10,clpA_100,clpA_101,clpA_102,clpA_103,clpA_104,clpA_105,clpA_106,clpA_107,clpA_108,clpA_109,clpA_11,clpA_110,clpA_111,clpA_112,clpA_113,clpA_114,clpA_115,clpA_116,clpA_117,clpA_118,clpA_119,clpA_12,clpA_120,clpA_121,clpA_122,clpA_123,clpA_124,clpA_125,clpA_126,clpA_127,clpA_128,clpA_129,clpA_13,clpA_130,clpA_131,clpA_132,clpA_133,clpA_134,clpA_135,clpA_136,clpA_137,clpA_138,clpA_139,clpA_14,clpA_140,clpA_141,clpA_142,clpA_143,clpA_144,clpA_145,clpA_146,clpA_147,clpA_148,clpA_149,clpA_15,clpA_150,clpA_151,clpA_152,clpA_153,clpA_154,clpA_155,clpA_156,clpA_157,clpA_158,clpA_159,clpA_16,clpA_160,clpA_161,clpA_162,clpA_163,clpA_164,clpA_165,clpA_166,clpA_167,clpA_168,clpA_169,clpA_17,clpA_170,clpA_171,clpA_172,clpA_173,clpA_174,clpA_175,clpA_176,clpA_177,clpA_178,clpA_179,clpA_18,clpA_180,clpA_181,clpA_182,clpA_183,clpA_184,clpA_185,clpA_186,clpA_187,clpA_188,clpA_189,clpA_19,clpA_190,clpA_191,clpA_192,clpA_193,clpA_194,clpA_195,clpA_196,clpA_197,clpA_198,clpA_199,clpA_2,clpA_20,clpA_200,clpA_201,clpA_202,clpA_203,clpA_204,clpA_205,clpA_206,clpA_207,clpA_208,clpA_209,clpA_21,clpA_210,clpA_211,clpA_212,clpA_213,clpA_214,clpA_215,clpA_216,clpA_217,clpA_218,clpA_219,clpA_22,clpA_220,clpA_221,clpA_222,clpA_223,clpA_224,clpA_225,clpA_226,clpA_227,clpA_228,clpA_229,clpA_23,clpA_230,clpA_231,clpA_232,clpA_233,clpA_234,clpA_235,clpA_236,clpA_237,clpA_238,clpA_239,clpA_24,clpA_240,clpA_241,clpA_242,clpA_243,clpA_244,clpA_245,clpA_246,clpA_247,clpA_248,clpA_249,clpA_25,clpA_250,clpA_26,clpA_27,clpA_28,clpA_29,clpA_3,clpA_30,clpA_31,clpA_32,clpA_33,clpA_34,clpA_35,clpA_36,clpA_37,clpA_38,clpA_39,clpA_4,clpA_40,clpA_41,clpA_42,clpA_43,clpA_44,clpA_45,clpA_46,clpA_47,clpA_48,clpA_49,clpA_5,clpA_50,clpA_51,clpA_52,clpA_53,clpA_54,clpA_55,clpA_56,clpA_57,clpA_58,clpA_59,clpA_6,clpA_60,clpA_61,clpA_62,clpA_63,clpA_64,clpA_65,clpA_66,clpA_67,clpA_68,clpA_69,clpA_7,clpA_70,clpA_71,clpA_72,clpA_73,clpA_74,clpA_75,clpA_76,clpA_77,clpA_78,clpA_79,clpA_8,clpA_80,clpA_81,clpA_82,clpA_83,clpA_84,clpA_85,clpA_86,clpA_87,clpA_88,clpA_89,clpA_9,clpA_90,clpA_91,clpA_92,clpA_93,clpA_94,clpA_95,clpA_96,clpA_97,clpA_98,clpA_99
clpA_108,62,61,63,50,50,9,62,61,62,61,0,47,63,59,49,8,49,48,49,10,56,55,55,61,55,55,54,56,54,55,55,55,61,9,60,8,46,61,50,47,49,51,61,8,2,62,11,11,8,7,16,14,15,14,15,14,65,12,65,66,17,17,60,63,62,62,61,63,62,59,47,49,51,12,15,8,15,52,59,78,6,49,17,57,54,55,57,52,59,64,62,49,62,47,61,9,12,8,51,51,63,50,5,6,11,6,5,8,15,49,189,60,59,185,178,180,181,181,49,47,14,14,11,60,10,7,178,182,180,180,181,63,52,190,61,189,187,186,12,20,10,5,6,7,50,61,46,50,53,46,45,47,45,45,48,8,62,186,49,10,48,63,5,174,180,49,49,60,176,49,50,48,48,60,49,51,48,51,51,48,48,49,49,49,59,8,14,7,7,10,7,4,4,11,58,60,58,49,49,48,49,49,15,16,10,12,61,15,179,15,48,6,9,1,5,179,12,64,15,180,14,17,49,65,64,60,64,62,60,60,63,63,66,67,15,11,15,12,61,61,16,57,58,59,61,10,58,48,49,6
clpA_109,50,51,59,48,3,48,52,53,51,52,47,0,53,57,2,45,2,2,2,45,55,55,54,50,53,55,52,56,55,53,54,53,49,46,53,47,1,54,48,2,3,49,49,47,45,50,48,47,47,50,47,45,48,47,44,51,55,43,56,61,50,50,49,53,52,53,55,51,56,52,4,4,44,45,44,49,50,45,52,76,47,2,47,47,51,54,53,45,50,54,52,4,50,1,66,45,47,45,49,49,51,4,46,45,46,47,46,48,48,2,191,49,49,187,181,183,184,184,2,2,49,43,48,48,49,46,175,188,185,182,186,51,51,192,50,191,191,188,46,51,46,42,43,46,3,49,48,46,49,47,47,47,46,48,51,45,52,188,4,47,3,53,44,180,189,43,2,50,179,43,44,44,44,48,43,49,44,49,50,1,1,2,2,2,46,45,45,44,46,45,46,45,45,46,57,50,56,3,2,3,2,2,48,49,47,45,49,48,185,48,3,49,46,46,44,182,45,54,48,188,46,50,45,62,60,56,62,58,49,58,61,59,64,65,46,44,46,49,59,50,49,55,56,57,47,49,56,2,2,43
clpA_11,5,4,53,54,56,63,1,4,6,7,63,53,0,51,55,62,53,54,55,61,42,44,41,9,41,44,41,45,49,47,50,47,7,65,15,64,52,16,53,54,53,55,7,62,62,5,66,62,64,67,61,61,62,63,61,69,2,60,48,63,67,67,5,2,8,4,12,6,11,14,56,55,56,64,61,62,60,55,14,82,62,54,60,41,34,37,38,57,53,1,60,55,8,53,71,61,63,62,55,55,6,54,61,62,62,63,63,64,60,55,196,10,4,191,190,183,184,184,55,55,63,60,65,5,64,61,178,187,187,181,186,6,50,191,5,192,194,192,63,68,62,61,60,61,56,7,31,31,34,30,30,30,29,31,33,62,3,187,54,66,53,2,63,178,188,51,55,3,183,50,52,49,51,6,49,55,48,55,56,53,54,55,55,55,7,64,62,61,63,62,59,62,62,62,51,3,50,54,55,55,54,54,62,63,64,61,4,62,184,62,55,66,65,63,61,183,61,3,63,188,61,64,51,58,55,55,55,52,6,54,56,54,57,58,60,61,61,66,53,7,66,43,43,43,68,62,50,53,55,60
clpA_110,51,49,18,49,60,60,50,51,48,50,59,57,51,0,59,61,59,58,59,63,59,58,58,52,57,60,57,57,68,66,67,66,48,66,51,65,56,52,48,57,57,50,48,63,61,52,66,63,65,64,60,59,57,62,62,68,53,63,60,68,67,67,48,53,51,50,55,53,54,50,60,59,52,67,62,63,61,51,50,83,63,59,59,51,54,53,57,53,38,52,58,59,49,57,64,62,65,63,48,50,53,59,60,61,66,62,62,65,61,59,192,51,47,188,186,175,175,175,59,57,56,61,66,50,67,60,176,183,184,183,182,53,60,190,48,191,190,189,65,65,61,60,59,64,60,48,49,51,54,48,46,48,49,47,52,63,50,183,59,65,58,51,62,173,187,47,59,48,176,47,48,47,48,47,48,48,46,50,50,58,58,59,59,59,48,61,63,62,62,64,62,61,61,64,2,48,1,59,59,60,59,59,61,62,63,62,51,59,180,61,60,63,62,60,60,179,62,54,63,186,58,63,47,21,18,13,18,14,47,15,19,17,20,21,60,62,61,64,13,48,66,59,60,59,61,63,5,58,59,61
clpA_111,52,53,61,50,3,50,54,55,53,54,49,2,55,59,0,47,2,2,4,47,57,57,56,52,55,57,54,58,57,55,56,55,51,48,55,49,3,56,50,2,3,51,51,49,47,52,50,49,49,52,49,47,50,49,46,53,57,45,56,63,52,52,51,55,54,55,57,53,58,54,6,6,46,47,46,51,52,47,54,78,49,2,49,49,53,56,55,47,52,56,54,4,52,3,67,47,49,47,51,51,53,4,48,47,48,49,48,50,50,2,192,51,51,188,182,183,184,184,2,2,51,45,50,50,51,48,176,187,186,182,186,53,53,193,52,192,192,189,48,53,48,44,45,48,3,51,50,48,51,49,49,49,48,50,53,47,54,190,6,49,5,55,46,181,190,45,2,52,179,45,46,46,46,50,45,51,46,51,52,3,1,2,2,2,48,47,47,46,48,47,48,47,47,48,59,52,58,3,2,5,4,4,50,51,49,47,51,50,184,50,5,51,48,48,46,183,47,56,50,189,48,52,47,64,62,58,64,60,51,60,63,61,66,67,48,46,48,51,61,52,51,57,58,59,48,51,58,4,2,45
clpA_112,61,60,65,48,48,3,61,60,61,60,8,45,62,61,47,0,47,46,47,10,58,57,57,60,57,57,56,58,54,55,56,55,60,11,61,10,44,62,48,47,47,49,60,4,6,61,15,13,10,11,16,16,17,16,13,18,64,12,67,66,18,18,59,62,61,61,62,62,63,60,45,49,51,12,13,8,17,50,60,77,6,47,17,57,54,57,57,52,59,63,62,47,61,45,60,9,12,4,49,49,62,48,7,2,9,4,3,6,17,47,188,59,58,184,178,183,184,184,47,45,18,12,11,59,8,7,179,182,185,180,181,62,52,189,60,188,186,185,12,18,10,7,8,7,48,60,45,49,52,47,48,48,46,48,47,4,61,186,47,12,46,62,7,175,184,45,47,59,176,45,46,46,46,59,45,49,46,49,50,46,46,47,47,47,58,12,14,3,1,10,7,4,6,11,60,59,60,47,47,46,47,47,17,18,12,14,60,17,179,17,46,10,13,7,3,180,14,63,17,185,16,19,47,67,66,62,66,64,59,62,65,65,68,69,17,13,15,14,63,60,17,59,58,61,59,10,60,46,47,4
clpA_113,50,51,61,50,3,50,52,53,51,52,49,2,53,59,2,47,0,2,4,47,57,57,56,50,55,57,54,58,57,55,56,55,49,48,53,49,3,54,50,2,3,51,49,49,47,50,50,49,49,52,49,47,50,49,46,53,55,45,56,63,52,52,49,53,52,53,55,51,56,52,6,6,46,47,46,51,52,47,52,76,49,2,49,49,53,56,55,47,52,54,54,4,50,3,68,47,49,47,51,51,51,4,48,47,48,49,48,50,50,2,192,49,49,188,182,182,183,183,2,2,51,45,50,48,51,48,176,187,186,183,185,51,51,193,50,192,192,189,48,53,48,44,45,48,3,49,48,46,49,47,47,47,46,48,51,47,52,189,6,49,5,53,46,181,190,45,2,50,178,45,46,46,46,48,45,51,46,51,52,3,1,2,2,2,46,47,47,46,48,47,48,47,47,48,59,50,58,3,2,5,4,4,50,51,49,47,49,50,184,50,5,51,48,48,46,183,47,54,50,189,48,52,47,64,62,58,64,60,49,60,63,61,66,67,48,46,48,51,61,50,51,57,58,59,49,51,58,4,2,45
clpA_114,51,52,60,48,3,49,53,54,52,53,48,2,54,58,2,46,2,0,4,46,56,56,55,51,54,56,53,57,56,54,55,54,50,47,54,48,3,55,49,2,1,49,50,48,46,51,49,48,48,51,48,46,49,48,45,52,56,44,54,61,51,51,50,54,53,54,56,52,57,53,6,6,44,46,45,50,51,45,53,76,48,2,48,48,52,55,54,45,52,55,53,4,51,1,66,46,48,46,49,49,52,2,47,46,47,48,47,49,49,2,192,50,50,188,182,182,183,183,2,2,50,44,49,49,50,47,176,187,186,183,185,52,52,193,51,192,192,189,47,52,47,43,44,47,3,50,49,47,50,48,48,48,47,49,52,46,53,189,6,48,5,54,45,181,190,44,2,51,179,44,44,44,44,49,43,49,45,49,50,3,1,2,2,2,47,46,46,45,47,46,47,46,46,47,58,51,57,1,2,5,4,4,49,50,48,46,50,49,184,49,5,50,47,47,45,183,46,55,49,189,47,51,45,62,61,57,63,59,50,59,62,60,65,66,47,45,47,50,60,51,50,56,57,58,47,50,57,4,2,44
clpA_115,52,53,61,50,5,50,54,55,53,54,49,2,55,59,4,47,4,4,0,47,57,57,56,52,55,57,54,58,57,55,56,55,51,48,55,49,3,56,50,4,5,51,51,49,47,52,50,49,49,52,49,47,50,49,46,53,57,45,58,63,52,52,51,55,54,55,57,53,58,54,6,6,46,47,46,51,52,47,54,78,49,4,49,49,53,56,55,47,52,56,54,6,52,3,68,47,49,47,51,51,53,6,48,47,48,49,48,50,50,4,191,51,51,187,181,182,183,183,4,4,51,45,50,50,51,48,175,188,185,181,186,53,53,192,52,191,191,188,48,53,48,44,45,48,5,51,50,48,50,49,49,49,48,50,53,47,54,188,6,49,5,55,46,180,189,45,4,52,179,45,46,46,46,50,45,51,46,51,52,3,3,4,4,4,48,47,47,46,48,47,48,47,47,48,59,52,58,5,4,5,4,4,50,51,49,47,51,50,185,50,5,51,48,48,46,182,47,56,50,188,48,52,47,64,62,58,64,60,51,60,63,61,66,67,48,46,48,51,61,52,51,57,58,59,49,51,58,4,4,45
clpA_116,60,59,67,48,48,11,60,59,60,59,10,45,61,63,47,10,47,46,47,0,56,54,55,59,54,54,53,55,53,54,55,54,59,9,58,8,44,59,48,47,47,49,59,10,8,60,13,11,8,11,18,16,17,16,15,16,63,14,62,65,19,19,58,61,60,60,59,61,60,57,45,49,51,10,15,10,17,52,57,72,10,47,19,56,53,56,54,52,58,62,60,47,60,45,62,13,2,8,49,49,61,48,9,8,5,8,9,12,17,47,190,58,57,186,180,184,185,185,47,47,18,14,9,58,12,9,178,182,183,179,181,61,51,189,59,188,188,187,2,20,14,5,6,7,48,59,42,48,51,44,45,45,43,45,44,8,60,187,47,8,46,61,9,174,184,47,47,58,175,47,48,48,48,58,47,49,48,49,50,46,46,47,47,47,57,8,14,7,9,4,7,6,8,1,62,58,62,47,47,46,47,47,17,18,12,14,59,17,179,17,46,10,9,9,9,179,14,62,17,184,16,19,47,69,68,64,68,66,58,64,67,67,70,71,17,11,15,14,65,59,18,56,53,58,59,12,62,46,47,6
clpA_117,43,42,61,58,58,59,41,42,41,42,56,55,42,59,57,58,57,56,57,56,0,5,1,42,2,5,4,6,28,28,29,26,42,57,43,58,54,44,57,55,57,59,42,58,58,43,61,58,60,61,62,60,61,60,61,64,44,56,51,72,63,63,41,42,43,43,46,44,45,42,59,57,59,62,61,60,61,58,42,85,58,57,63,34,39,41,10,60,57,43,65,58,43,55,69,61,58,58,59,59,44,57,57,56,59,57,57,60,61,57,191,43,40,186,180,183,184,184,57,57,60,60,61,41,62,57,179,184,183,179,182,44,53,186,42,185,191,187,58,62,62,56,57,59,58,42,41,43,46,40,38,38,39,39,44,58,43,187,57,59,56,42,59,178,184,52,57,41,179,52,54,52,52,41,53,59,51,57,59,56,56,57,56,57,40,55,60,57,57,58,57,58,58,57,59,41,58,57,57,58,57,57,60,61,60,58,42,59,181,61,58,60,56,57,57,181,56,43,61,184,60,63,55,67,64,61,64,62,41,60,61,63,64,65,61,59,59,62,61,42,62,4,9,6,63,60,58,56,57,56
